id,name
1,ictf-admin
2,larass0x04
3,AllianceForever
4,NBNBJG
5,SigmaGooners
6,x86_64
7,LHS
8,Hackers Fight Club
9,we lost
10,The HackStreet Boys
11,Holly Hackers
12,THISDL-2024
13,aabbcc
14,Black Cats Hackers
15,95th/Dan Ryan (CTA Red Line)
16,CyberCats
17,Centipwn 
18,Bobs Basement Beasts
19,Santa Barbara High School Hacking Club
20,Datalogi
21,Imagine_Losing
22,CodingClowns
23,The Royals
24,Touch Grass
25,4mail
26,Ignore All Previous Instructions
27,WHITE SOUL
