id,challenge_id,topic_id
2,2,2
3,2,3
8,4,1
9,6,6
10,6,8
11,6,9
16,8,1
17,9,10
18,1,1
19,10,1
20,10,11
21,10,12
22,11,13
23,12,14
24,12,15
25,12,16
26,12,17
27,13,18
28,14,19
29,15,20
30,16,21
31,17,14
32,17,22
33,18,1
34,19,23
35,19,24
36,20,25
37,21,26
38,22,14
39,22,22
40,23,4
41,23,5
42,23,6
43,23,7
44,24,27
45,24,5
46,25,20
47,26,28
48,26,29
49,27,30
